USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
CO	08001	00198116	Adams County	3020716474	44323330	1166.305	17.113	39.874325	-104.331872                                                                                                                
CO	08003	00198117	Alamosa County	1871465874	1847610	722.577	0.713	37.568442	-105.788041                                                                                                                 
CO	08005	00198118	Arapahoe County	2066706152	19421685	797.96	7.499	39.644554	-104.331706                                                                                                                
CO	08007	00198119	Archuleta County	3496712109	13740247	1350.088	5.305	37.202395	-107.050863                                                                                                             
CO	08009	00198120	Baca County	6617400568	6142192	2554.993	2.372	37.30978	-102.543741                                                                                                                    
CO	08011	00198121	Bent County	3918255147	73141518	1512.847	28.24	37.931891	-103.077584                                                                                                                  
CO	08013	00198122	Boulder County	1881309466	36493405	726.378	14.09	40.09497	-105.397691                                                                                                                 
CO	08014	01945881	Broomfield County	85478765	1411396	33.004	0.545	39.953593	-105.050787                                                                                                                 
CO	08015	00198123	Chaffee County	2624715697	3999975	1013.408	1.544	38.738223	-106.316683                                                                                                                
CO	08017	00198124	Cheyenne County	4605713960	8166129	1778.276	3.153	38.835646	-102.601791                                                                                                               
CO	08019	00198125	Clear Creek County	1023234039	3274908	395.073	1.264	39.669732	-105.69257                                                                                                              
CO	08021	00198126	Conejos County	3334423894	9235012	1287.428	3.566	37.213406	-106.176447                                                                                                                
CO	08023	00198127	Costilla County	3179452298	8828906	1227.593	3.409	37.277547	-105.42894                                                                                                                
CO	08025	00198128	Crowley County	2039427872	33422981	787.428	12.905	38.30618	-103.772736                                                                                                                
CO	08027	00198129	Custer County	1913031921	3364150	738.626	1.299	38.101996	-105.373512                                                                                                                  
CO	08029	00198130	Delta County	2958090985	16786780	1142.125	6.481	38.861595	-107.864892                                                                                                                 
CO	08031	00198131	Denver County	397024773	4245401	153.292	1.639	39.76185	-104.881105                                                                                                                    
CO	08033	00198132	Dolores County	2763958510	2716141	1067.17	1.049	37.711723	-108.524116                                                                                                                 
CO	08035	00198133	Douglas County	2176240583	6798120	840.251	2.625	39.325414	-104.925987                                                                                                                 
CO	08037	00198134	Eagle County	4362757834	18967056	1684.47	7.323	39.626992	-106.695169                                                                                                                  
CO	08039	00198136	Elbert County	4793643980	442147	1850.836	0.171	39.315157	-104.114076                                                                                                                  
CO	08041	00198135	El Paso County	5508514019	7087627	2126.849	2.737	38.827383	-104.527472                                                                                                                
CO	08043	00198137	Fremont County	3970664378	2235542	1533.082	0.863	38.45517	-105.424958                                                                                                                 
CO	08045	00198138	Garfield County	7633795354	21708518	2947.425	8.382	39.599352	-107.90978                                                                                                               
CO	08047	00198139	Gilpin County	388556733	942056	150.023	0.364	39.861156	-105.528878                                                                                                                    
CO	08049	00198140	Grand County	4782273598	59889262	1846.446	23.123	40.113065	-106.110837                                                                                                                
CO	08051	00198141	Gunnison County	8389338078	53067068	3239.142	20.489	38.670499	-107.05688                                                                                                              
CO	08053	00198142	Hinsdale County	2893614473	15324685	1117.231	5.917	37.821165	-107.338261                                                                                                              
CO	08055	00198143	Huerfano County	4120756304	5792101	1591.033	2.236	37.687815	-104.959928                                                                                                               
CO	08057	00198144	Jackson County	4179530230	18750017	1613.726	7.239	40.663432	-106.329248                                                                                                               
CO	08059	00198145	Jefferson County	1979623397	25204513	764.337	9.732	39.579511	-105.245462                                                                                                              
CO	08061	00198146	Kiowa County	4578603586	47032918	1767.809	18.16	38.387663	-102.756849                                                                                                                 
CO	08063	00198147	Kit Carson County	5596501939	2251929	2160.822	0.869	39.30534	-102.603023                                                                                                              
CO	08065	00198149	Lake County	976215867	18111565	376.919	6.993	39.205341	-106.350079                                                                                                                    
CO	08067	00198148	La Plata County	4376255148	25642578	1689.682	9.901	37.287367	-107.839718                                                                                                              
CO	08069	00198150	Larimer County	6723025059	99007869	2595.775	38.227	40.658093	-105.486764                                                                                                              
CO	08071	00198151	Las Animas County	12361852579	6929970	4772.938	2.676	37.318831	-104.04411                                                                                                             
CO	08073	00198152	Lincoln County	6676158660	22780358	2577.679	8.796	38.99374	-103.507555                                                                                                                
CO	08075	00198153	Logan County	4761947979	16363553	1838.598	6.318	40.728091	-103.090464                                                                                                                 
CO	08077	00198154	Mesa County	8621849401	31490395	3328.915	12.159	39.019524	-108.460571                                                                                                                 
CO	08079	00198155	Mineral County	2268209075	5222161	875.76	2.016	37.549067	-107.003236                                                                                                                  
CO	08081	00198156	Moffat County	12284943819	19803411	4743.244	7.646	40.610864	-108.217154                                                                                                               
CO	08083	00198157	Montezuma County	5255990025	27208195	2029.349	10.505	37.338025	-108.595786                                                                                                            
CO	08085	00198158	Montrose County	5804023558	4923260	2240.946	1.901	38.407507	-108.266282                                                                                                               
CO	08087	00198159	Morgan County	3316441486	34663098	1280.485	13.383	40.263159	-103.81221                                                                                                                
