USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
NM	35001	01702363	Bernalillo County	3007645106	15849400	1161.258	6.119	35.053628	-106.66908                                                                                                             
NM	35003	00929108	Catron County	17933559836	14195265	6924.186	5.481	33.901621	-108.391928                                                                                                               
NM	35005	01702364	Chaves County	15713907540	20479488	6067.174	7.907	33.361604	-104.469837                                                                                                               
NM	35006	00933051	Cibola County	11758505180	5554603	4539.984	2.145	34.928272	-107.99268                                                                                                                 
NM	35007	00929117	Colfax County	9733110165	26299632	3757.975	10.154	36.612964	-104.64011                                                                                                                
NM	35009	00933053	Curry County	3640261520	8027146	1405.513	3.099	34.572984	-103.346055                                                                                                                  
NM	35011	00933054	De Baca County	6016819475	29089486	2323.107	11.232	34.359273	-104.368696                                                                                                              
NM	35013	00929109	Doña Ana County	9863164217	17589892	3808.189	6.791	32.349919	-106.834968                                                                                                              
NM	35015	00936829	Eddy County	10816683024	56498061	4176.345	21.814	32.457835	-104.306434                                                                                                                
NM	35017	00915980	Grant County	10259475126	15298388	3961.206	5.907	32.732087	-108.381504                                                                                                                
NM	35019	00929111	Guadalupe County	7847072129	2887948	3029.772	1.115	34.869782	-104.784968                                                                                                              
NM	35021	00933055	Harding County	5504963123	1162620	2125.478	0.449	35.858516	-103.847925                                                                                                                
NM	35023	00929106	Hidalgo County	8905760686	23582051	3438.534	9.105	31.898052	-108.751929                                                                                                               
NM	35025	01702365	Lea County	11373854756	8356103	4391.47	3.226	32.795687	-103.413271                                                                                                                    
NM	35027	00929116	Lincoln County	12512530057	554839	4831.115	0.214	33.740841	-105.449805                                                                                                                
NM	35028	01702366	Los Alamos County	282843396	208105	109.206	0.08	35.870047	-106.307968                                                                                                                 
NM	35029	00933057	Luna County	7679776973	433660	2965.179	0.167	32.184523	-107.747191                                                                                                                    
NM	35031	00929107	McKinley County	14117193195	13684636	5450.679	5.284	35.583878	-108.253266                                                                                                             
NM	35033	01702367	Mora County	4988962825	6093304	1926.249	2.353	35.982841	-104.921898                                                                                                                   
NM	35035	00929104	Otero County	17126456785	36943378	6612.562	14.264	32.615599	-105.751308                                                                                                               
NM	35037	00929110	Quay County	7443508573	18554572	2873.955	7.164	35.107018	-103.548071                                                                                                                  
NM	35039	01702368	Rio Arriba County	15179590198	91466278	5860.873	35.315	36.509669	-106.693983                                                                                                          
NM	35041	01702369	Roosevelt County	6335242828	18679735	2446.051	7.212	34.021207	-103.483004                                                                                                             
NM	35043	00929113	Sandoval County	9609141717	10852111	3710.111	4.19	35.685091	-106.883119                                                                                                               
NM	35045	00936844	San Juan County	14289491641	54966780	5517.204	21.223	36.511624	-108.324578                                                                                                            
NM	35047	00929114	San Miguel County	12228666254	51380263	4721.515	19.838	35.476859	-104.803519                                                                                                          
NM	35049	00933322	Santa Fe County	4947856149	2648084	1910.378	1.022	35.51453	-105.963972                                                                                                                
NM	35051	01702370	Sierra County	10829248654	147675972	4181.196	57.018	33.119468	-107.188161                                                                                                             
NM	35053	01702371	Socorro County	17214061650	4843011	6646.387	1.87	33.991658	-106.939136                                                                                                                
NM	35055	00933056	Taos County	5704119383	3383128	2202.373	1.306	36.576529	-105.637986                                                                                                                   
NM	35057	00929112	Torrance County	8664061332	2316559	3345.213	0.894	34.554978	-105.890557                                                                                                               
NM	35059	00929115	Union County	9906866302	15466855	3825.063	5.972	36.488085	-103.475723                                                                                                                 
NM	35061	00933052	Valencia County	2762854204	2760089	1066.744	1.066	34.71684	-106.806582                                                                                                                
