USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
NV	32001	00858638	Churchill County	12821785223	190748448	4950.519	73.648	39.53771	-118.264166                                                                                                           
NV	32003	00863600	Clark County	20439276974	438416032	7891.649	169.273	36.214257	-115.013812                                                                                                             
NV	32005	00858643	Douglas County	1838170319	72317573	709.722	27.922	38.905129	-119.609019                                                                                                               
NV	32007	00857664	Elko County	44479019136	74784739	17173.446	28.875	41.141133	-115.351424                                                                                                               
NV	32009	00858641	Esmeralda County	9277049964	18552010	3581.889	7.163	37.778966	-117.632382                                                                                                             
NV	32011	00858640	Eureka County	10814982421	11058701	4175.688	4.27	39.977788	-116.272208                                                                                                                
NV	32013	00863310	Humboldt County	24969533319	44196978	9640.791	17.065	41.407914	-118.127591                                                                                                            
NV	32015	00863368	Lander County	14294783154	662270	5519.247	0.256	39.90021	-117.04724                                                                                                                   
NV	32017	00863992	Lincoln County	27540342245	9802713	10633.386	3.785	37.634605	-114.863037                                                                                                              
NV	32019	00858645	Lyon County	5183173264	59602530	2001.234	23.013	39.022213	-119.197425                                                                                                                 
NV	32021	00858644	Mineral County	9719815181	155746679	3752.842	60.134	38.516647	-118.416279                                                                                                             
NV	32023	00863599	Nye County	47090939040	43207981	18181.914	16.683	37.965864	-116.459011                                                                                                                
NV	32027	00858646	Pershing County	15634691964	79934815	6036.589	30.863	40.439639	-118.409477                                                                                                            
NV	32029	00858642	Storey County	683680818	1881020	263.971	0.726	39.438385	-119.524646                                                                                                                   
NV	32031	00858608	Washoe County	16358779479	582737537	6316.16	224.996	40.73132	-119.663269                                                                                                              
NV	32033	00858615	White Pine County	23016356483	23426584	8886.665	9.045	39.418234	-114.900605                                                                                                           
NV	32510	00863219	Carson City	374670880	32586219	144.661	12.582	39.15306	-119.747368                                                                                                                    
