USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
UT	49001	01448015	Beaver County	6689681828	5298466	2582.901	2.046	38.357535	-113.238948                                                                                                                 
UT	49003	01455966	Box Elder County	14881016779	2547651538	5745.593	983.654	41.276061	-113.126226                                                                                                        
UT	49005	01448017	Cache County	3016638914	21097697	1164.731	8.146	41.734117	-111.745399                                                                                                                 
UT	49007	01448018	Carbon County	3831067717	15844443	1479.184	6.118	39.673284	-110.588484                                                                                                                
UT	49009	01448019	Daggett County	1805185914	61230034	696.986	23.641	40.890099	-109.505785                                                                                                               
UT	49011	01448020	Davis County	774573895	870620486	299.065	336.148	41.037559	-112.201943                                                                                                                
UT	49013	01448021	Duchesne County	8379502732	38797805	3235.344	14.98	40.289393	-110.429584                                                                                                              
UT	49015	01448022	Emery County	11557242836	24843848	4462.277	9.592	39.009025	-110.7211                                                                                                                  
UT	49017	01448023	Garfield County	13403572592	85610782	5175.149	33.055	37.831664	-111.450908                                                                                                            
UT	49019	01448024	Grand County	9512361695	31552270	3672.744	12.182	38.974326	-109.57345                                                                                                                 
UT	49021	01448025	Iron County	8537474393	11390956	3296.337	4.398	37.909304	-113.30674                                                                                                                   
UT	49023	01455158	Juab County	8784407524	36542088	3391.679	14.109	39.71412	-112.790471                                                                                                                  
UT	49025	01448026	Kane County	10333912584	306169204	3989.946	118.213	37.275089	-111.815329                                                                                                              
UT	49027	01448027	Millard County	17574363583	133311812	6785.5	51.472	38.956744	-113.133092                                                                                                              
UT	49029	01448028	Morgan County	1577739404	4437369	609.169	1.713	41.091027	-111.577885                                                                                                                  
UT	49031	01448029	Piute County	1964345824	20285697	758.438	7.832	38.335881	-112.129375                                                                                                                  
UT	49033	01448030	Rich County	2664700960	149106532	1028.847	57.57	41.627598	-111.240227                                                                                                                 
UT	49035	01448031	Salt Lake County	1921943552	164903045	742.067	63.669	40.667883	-111.92424                                                                                                             
UT	49037	01448032	San Juan County	20253296804	293696059	7819.842	113.397	37.602633	-109.791574                                                                                                          
UT	49039	01448033	Sanpete County	4117901464	32049371	1589.931	12.374	39.382531	-111.572883                                                                                                              
UT	49041	01448034	Sevier County	4948000018	20260738	1910.434	7.823	38.746824	-111.81193                                                                                                                 
UT	49043	01448035	Summit County	4844777278	26617166	1870.579	10.277	40.87206	-110.968486                                                                                                                
UT	49045	01448036	Tooele County	17979556883	891073714	6941.946	344.045	40.467753	-113.123979                                                                                                            
UT	49047	01448037	Uintah County	11609319514	56115726	4482.384	21.666	40.125887	-109.517748                                                                                                              
UT	49049	01448038	Utah County	5190511352	363000373	2004.068	140.155	40.120425	-111.668508                                                                                                               
UT	49051	01448039	Wasatch County	3048454179	79128329	1177.015	30.552	40.334884	-111.161568                                                                                                              
UT	49053	01448040	Washington County	6287037025	7781671	2427.439	3.005	37.262531	-113.4878                                                                                                               
UT	49055	01448041	Wayne County	6374011496	15049641	2461.02	5.811	38.25984	-110.990877                                                                                                                   
UT	49057	01448042	Weber County	1492536927	216443479	576.272	83.569	41.270325	-111.876883                                                                                                                
