Year Month,State,Countym,Industry,Count
2014 January,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,17
2014 January,Arizona,"Maricopa County, AZ",[Total],17
2014 January,Arizona,"Pima County, AZ",Casino/Card Club - Tribal Authorized Casino,9
2014 January,Arizona,"Pima County, AZ",[Total],9
2014 January,Arizona,"Pinal County, AZ",Casino/Card Club - Tribal Authorized Casino,6
2014 January,Arizona,"Pinal County, AZ",[Total],6
2014 January,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,1
2014 January,Arizona,"Yavapai County, AZ",[Total],1
2014 January,Arizona,"Yuma County, AZ",Casino/Card Club - Tribal Authorized Casino,1
2014 January,Arizona,"Yuma County, AZ",[Total],1
2014 January,Arizona,[Total],[Total],34
2014 January,California,"Amador County, CA",Casino/Card Club - Tribal Authorized Casino,1
2014 January,California,"Amador County, CA",[Total],1
2014 January,California,"Butte County, CA",Casino/Card Club - Tribal Authorized Casino,3
2014 January,California,"Butte County, CA",[Total],3
2014 January,California,"Colusa County, CA",Casino/Card Club - Tribal Authorized Casino,1
2014 January,California,"Colusa County, CA",[Total],1
2014 January,California,"Contra Costa County, CA",Casino/Card Club - Tribal Authorized Casino,1
2014 January,California,"Contra Costa County, CA",[Total],1
2014 January,California,"El Dorado County, CA",Casino/Card Club - Tribal Authorized Casino,1
2014 January,California,"El Dorado County, CA",[Total],1
2014 January,California,"Fresno County, CA",Casino/Card Club - Card Club,1
2014 January,California,"Fresno County, CA",[Total],1
2014 January,California,"Humboldt County, CA",Casino/Card Club - Tribal Authorized Casino,8
2014 January,California,"Humboldt County, CA",[Total],8
2014 January,California,"Imperial County, CA",Casino/Card Club - Tribal Authorized Casino,4
2014 January,California,"Imperial County, CA",[Total],4
2014 January,California,"Kings County, CA",Casino/Card Club - Tribal Authorized Casino,2
2014 January,California,"Kings County, CA",[Total],2
2014 January,California,"Los Angeles County, CA",Casino/Card Club - Card Club,82
2014 January,California,"Los Angeles County, CA",[Total],82
2014 January,California,"Madera County, CA",Casino/Card Club - Tribal Authorized Casino,4
2014 January,California,"Madera County, CA",[Total],4
2014 January,California,"Orange County, CA",Casino/Card Club - Tribal Authorized Casino,1
2014 January,California,"Orange County, CA",[Total],1
2014 January,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,3
2014 January,California,"Riverside County, CA",Casino/Card Club - Tribal Authorized Casino,5
