Year Month,State,Countym,Industry,Suspicious Activity,Count
2014,Arizona,"Coconino County, AZ",Casino/Card Club - Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1
2014,Arizona,"Coconino County, AZ",Casino/Card Club - Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,1
2014,Arizona,"Coconino County, AZ",Casino/Card Club - Tribal Authorized Casino,Other Structuring,1
2014,Arizona,"Coconino County, AZ",Casino/Card Club - Tribal Authorized Casino,Provided Questionable or False Documentation,1
2014,Arizona,"Coconino County, AZ",Casino/Card Club - Tribal Authorized Casino,[Total],4
2014,Arizona,"Coconino County, AZ",[Total],[Total],4
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Account Takeover,11
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,18
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,54
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Bribery or Gratuity,2
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Changes Spelling or Arrangement of Name,3
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Check,5
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Counterfeit Instrument,4
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Credit/Debit Card,7
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Customer Cancels Transaction to Avoid Bsa Reporting and Recordkeeping Requirements,10
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Embezzlement/Theft/Disappearance of Funds,7
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,4
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Forgeries,8
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Identity Theft,12
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,"Little or No Concern for Product Performance Penalites, Fees, or Tax Consequences",3
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Minimal Gaming with Large Transactions,24
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Multiple Individuals with Same or Similar Identities,6
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Other Casinos,47
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Other Other Suspicious Activities,2
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Provided Questionable or False Documentation,22
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Refused or Avoided Request for Documentation,30
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Single Individual with Multiple Identities,10
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,3
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,Suspicion Concerning the Source of Funds,31
2014,Arizona,"Maricopa County, AZ",Casino/Card Club - Tribal Authorized Casino,"Suspicious Designation of Beneficiaries, Assignees or Joint Owners",2
