Year Month,State,Countym,Industry,Suspicious Activity,Count
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Changes Spelling or Arrangement of Name,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Credit/Debit Card,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Exchanges Small Bills for Large Bills or Vice Versa,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Other Casinos,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Other Identification Documentation,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Other Money Laundering,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Other Other Suspicious Activities,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Other Structuring,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,Arizona,"Yavapai County, AZ",Casino/Card Club - State Licensed Casino,[Total],14
2014,Arizona,[Total],Casino/Card Club - State Licensed Casino,[Total],14
2014,California,"Los Angeles County, CA",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,1
2014,California,"Los Angeles County, CA",Casino/Card Club - State Licensed Casino,Suspicious Use of Noncash Monetary Instruments,1
2014,California,"Los Angeles County, CA",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,1
2014,California,"Los Angeles County, CA",Casino/Card Club - State Licensed Casino,[Total],3
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,1
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,2
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,2
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,2
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,2
2014,California,"Riverside County, CA",Casino/Card Club - State Licensed Casino,[Total],9
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Account Takeover,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Alters or Cancels Transaction to Avoid CTR Requirement,4
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Check,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Credit/Debit Card,7
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Healthcare/Public or Private Health Insurance,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Inquiry about End of Business Day,3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Minimal Gaming with Large Transactions,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Casinos,94
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Fraud (Type),5
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Identification Documentation,3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Money Laundering,3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Other Suspicious Activities,2
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Other Structuring,70
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Provided Questionable or False Documentation,2
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Refused or Avoided Request for Documentation,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Single Individual with Multiple Identities,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Suspicion Concerning the Source of Funds,2
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Suspicious Inquiry by Customer Regarding Bsa Reporting or Recordkeeping Requirements,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Suspicious Use of Counter Checks or Markers,1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Suspicious Use of Third-Party Transactors (Straw-Man),1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Transaction Out of Pattern for Customer(s),3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,"Transaction with No Apparent Economic, Business, or Lawful Purpose",1
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Transaction(s) Below BSA Recordkeeping Threshold,3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Transaction(s) Below CTR Threshold,3
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,Two or More Individuals Working Together,2
2014,California,"San Diego County, CA",Casino/Card Club - State Licensed Casino,[Total],217
