USPS,GEOID,ANSICODE,NAME,Countym,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                               
AZ,4001,25441,Apache County,"Apache County, AZ",29002035366,54153162,11197.749,20.909,35.385084,-109.490172
AZ,4003,25442,Cochise County,"Cochise County, AZ",16083174724,17667961,6209.749,6.822,31.840129,-109.775163
AZ,4005,25443,Coconino County,"Coconino County, AZ",48217246133,116631412,18616.784,45.032,35.829692,-111.773728
AZ,4007,40471,Gila County,"Gila County, AZ",12323152721,97113523,4757.996,37.496,33.789618,-110.81187
AZ,4009,25444,Graham County,"Graham County, AZ",11970605964,47476264,4621.877,18.331,32.931828,-109.87831
AZ,4011,42807,Greenlee County,"Greenlee County, AZ",4771123868,13750620,1842.141,5.309,33.238872,-109.242323
AZ,4012,43540,La Paz County,"La Paz County, AZ",11645512187,36551630,4496.358,14.113,33.72761,-114.038806
AZ,4013,37026,Maricopa County,"Maricopa County, AZ",23829622328,63347750,9200.669,24.459,33.345176,-112.49893
AZ,4015,25445,Mohave County,"Mohave County, AZ",34529358909,333447540,13331.861,128.745,35.717705,-113.749689
AZ,4017,42808,Navajo County,"Navajo County, AZ",25770517979,24125805,9950.053,9.315,35.390785,-110.321025
AZ,4019,25446,Pima County,"Pima County, AZ",23798597214,5112470,9188.69,1.974,32.128043,-111.783657
AZ,4021,25447,Pinal County,"Pinal County, AZ",13897997152,22344370,5366.047,8.627,32.918521,-111.36634
AZ,4023,40472,Santa Cruz County,"Santa Cruz County, AZ",3201833002,3088479,1236.235,1.192,31.525733,-110.845228
AZ,4025,42809,Yavapai County,"Yavapai County, AZ",21038727465,11501576,8123.098,4.441,34.631071,-112.577225
AZ,4027,23901,Yuma County,"Yuma County, AZ",14280777606,13248642,5513.839,5.115,32.773942,-113.910905
CA,6001,1675839,Alameda County,"Alameda County, CA",1909614756,216907015,737.306,83.748,37.647139,-121.912488
CA,6003,1675840,Alpine County,"Alpine County, CA",1912292608,12557304,738.34,4.848,38.621783,-119.798352
