Id,Year,State,Countym,Industry,Suspicious Activity,Count,Lat,Long
0,2014,Arizona,Coconino County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,1,35.829692,-111.773728
1,2014,Arizona,Coconino County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,1,35.829692,-111.773728
2,2014,Arizona,Coconino County, Tribal Authorized Casino,Other Structuring,1,35.829692,-111.773728
3,2014,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Documentation,1,35.829692,-111.773728
4,2016,Arizona,Coconino County, Tribal Authorized Casino,Account Takeover,1,35.829692,-111.773728
5,2016,Arizona,Coconino County, Tribal Authorized Casino,Exchanges Small Bills for Large Bills or Vice Versa,4,35.829692,-111.773728
6,2016,Arizona,Coconino County, Tribal Authorized Casino,Identity Theft,3,35.829692,-111.773728
7,2016,Arizona,Coconino County, Tribal Authorized Casino,Minimal Gaming with Large Transactions,2,35.829692,-111.773728
8,2016,Arizona,Coconino County, Tribal Authorized Casino,Provided Questionable or False Documentation,3,35.829692,-111.773728
9,2016,Arizona,Coconino County, Tribal Authorized Casino,Refused or Avoided Request for Documentation,1,35.829692,-111.773728
10,2016,Arizona,Coconino County, Tribal Authorized Casino,Single Individual with Multiple Identities,1,35.829692,-111.773728
11,2016,Arizona,Coconino County, Tribal Authorized Casino,Suspicion Concerning the Physical Condition of Funds,1,35.829692,-111.773728
12,2016,Arizona,Coconino County, Tribal Authorized Casino,Suspicious Exchange of Currencies,2,35.829692,-111.773728
13,2016,Arizona,Coconino County, Tribal Authorized Casino,Transaction Out of Pattern for Customer(s),1,35.829692,-111.773728
14,2016,Arizona,Coconino County, Tribal Authorized Casino,Transaction(s) Below BSA Recordkeeping Threshold,1,35.829692,-111.773728
15,2016,Arizona,Coconino County, Tribal Authorized Casino,Transaction(s) Below CTR Threshold,1,35.829692,-111.773728
16,2016,Arizona,Coconino County, Tribal Authorized Casino,Two or More Individuals Working Together,2,35.829692,-111.773728
17,2017,Arizona,Coconino County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid BSA Recordkeeping Requirement,2,35.829692,-111.773728
18,2017,Arizona,Coconino County, Tribal Authorized Casino,Alters or Cancels Transaction to Avoid CTR Requirement,3,35.829692,-111.773728
19,2017,Arizona,Coconino County, Tribal Authorized Casino,Counterfeit Instrument,2,35.829692,-111.773728
