USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AZ	04001	00025441	Apache County	29002035366	54153162	11197.749	20.909	35.385084	-109.490172                                                                                                             
AZ	04003	00025442	Cochise County	16083174724	17667961	6209.749	6.822	31.840129	-109.775163                                                                                                              
AZ	04005	00025443	Coconino County	48217246133	116631412	18616.784	45.032	35.829692	-111.773728                                                                                                          
AZ	04007	00040471	Gila County	12323152721	97113523	4757.996	37.496	33.789618	-110.81187                                                                                                                 
AZ	04009	00025444	Graham County	11970605964	47476264	4621.877	18.331	32.931828	-109.87831                                                                                                               
AZ	04011	00042807	Greenlee County	4771123868	13750620	1842.141	5.309	33.238872	-109.242323                                                                                                              
AZ	04012	00043540	La Paz County	11645512187	36551630	4496.358	14.113	33.72761	-114.038806                                                                                                               
AZ	04013	00037026	Maricopa County	23829622328	63347750	9200.669	24.459	33.345176	-112.49893                                                                                                             
AZ	04015	00025445	Mohave County	34529358909	333447540	13331.861	128.745	35.717705	-113.749689                                                                                                           
AZ	04017	00042808	Navajo County	25770517979	24125805	9950.053	9.315	35.390785	-110.321025                                                                                                               
AZ	04019	00025446	Pima County	23798597214	5112470	9188.69	1.974	32.128043	-111.783657                                                                                                                   
AZ	04021	00025447	Pinal County	13897997152	22344370	5366.047	8.627	32.918521	-111.36634                                                                                                                 
AZ	04023	00040472	Santa Cruz County	3201833002	3088479	1236.235	1.192	31.525733	-110.845228                                                                                                             
AZ	04025	00042809	Yavapai County	21038727465	11501576	8123.098	4.441	34.631071	-112.577225                                                                                                              
AZ	04027	00023901	Yuma County	14280777606	13248642	5513.839	5.115	32.773942	-113.910905                                                                                                                 
